Conference,Division[54],Team[54],City,Stadium[55],Capacity,First season[56],Head coach
AFC,East,Buffalo Bills,"Orchard Park, NY",Highmark Stadium,71608,1960 (AFL) 1970 (NFL),Sean McDermott
AFC,East,Miami Dolphins,"Miami Gardens, FL",Hard Rock Stadium,64767,1966 (AFL) 1970 (NFL),Mike McDaniel
AFC,East,New England Patriots,"Foxborough, MA",Gillette Stadium,65878,1960 (AFL) 1970 (NFL),Jerod Mayo
AFC,East,New York Jets,"East Rutherford, NJ",MetLife Stadium[B],82500,1960 (AFL) 1970 (NFL),Jeff Ulbrich
AFC,North,Baltimore Ravens,"Baltimore, MD",M&T Bank Stadium,71008,1996[C],John Harbaugh
AFC,North,Cincinnati Bengals,"Cincinnati, OH",Paycor Stadium,65515,1968 (AFL) 1970 (NFL),Zac Taylor
AFC,North,Cleveland Browns,"Cleveland, OH",Huntington Bank Field,67895,1946 (AAFC) 1950 (NFL)[C],Kevin Stefanski
AFC,North,Pittsburgh Steelers,"Pittsburgh, PA",Acrisure Stadium,68400,1933,Mike Tomlin
AFC,South,Houston Texans,"Houston, TX",NRG Stadium,71995,2002,DeMeco Ryans
AFC,South,Indianapolis Colts*,"Indianapolis, IN",Lucas Oil Stadium,63000,1953,Shane Steichen
AFC,South,Jacksonville Jaguars,"Jacksonville, FL",EverBank Stadium[D],67814,1995,Doug Pederson
AFC,South,Tennessee Titans*,"Nashville, TN",Nissan Stadium,69143,1960 (AFL) 1970 (NFL),Brian Callahan
AFC,West,Denver Broncos,"Denver, CO",Empower Field at Mile High,76125,1960 (AFL) 1970 (NFL),Sean Payton
AFC,West,Kansas City Chiefs*,"Kansas City, MO",GEHA Field at Arrowhead Stadium,76416,1960 (AFL) 1970 (NFL),Andy Reid
AFC,West,Las Vegas Raiders*,"Paradise, NV",Allegiant Stadium,65000,1960 (AFL) 1970 (NFL),Antonio Pierce
AFC,West,Los Angeles Chargers*,"Inglewood, CA",SoFi Stadium[E],70240,1960 (AFL) 1970 (NFL),Jim Harbaugh
NFC,East,Dallas Cowboys,"Arlington, TX",AT&T Stadium,80000,1960,Mike McCarthy
NFC,East,New York Giants,"East Rutherford, NJ",MetLife Stadium[B],82500,1925,Brian Daboll
NFC,East,Philadelphia Eagles,"Philadelphia, PA",Lincoln Financial Field,69176,1933,Nick Sirianni
NFC,East,Washington Commanders*,"Landover, MD",Northwest Stadium,62000,1932,Dan Quinn
NFC,North,Chicago Bears†,"Chicago, IL",Soldier Field,61500,1920,Matt Eberflus
NFC,North,Detroit Lions*,"Detroit, MI",Ford Field,65000,1930,Dan Campbell
NFC,North,Green Bay Packers,"Green Bay, WI",Lambeau Field,81441,1921,Matt LaFleur
NFC,North,Minnesota Vikings,"Minneapolis, MN",U.S. Bank Stadium,66860,1961,Kevin O'Connell
NFC,South,Atlanta Falcons,"Atlanta, GA",Mercedes-Benz Stadium,71000,1966,Raheem Morris
NFC,South,Carolina Panthers,"Charlotte, NC",Bank of America Stadium,75523,1995,Dave Canales
NFC,South,New Orleans Saints,"New Orleans, LA",Caesars Superdome,73208,1967,Dennis Allen
NFC,South,Tampa Bay Buccaneers,"Tampa, FL",Raymond James Stadium,65618,1976,Todd Bowles
NFC,West,Arizona Cardinals*†,"Glendale, AZ",State Farm Stadium,63400,1920,Jonathan Gannon
NFC,West,Los Angeles Rams*,"Inglewood, CA",SoFi Stadium[E],70240,1936 (AFL) 1937 (NFL),Sean McVay
NFC,West,San Francisco 49ers,"Santa Clara, CA",Levi's Stadium,68500,1946 (AAFC) 1950 (NFL),Kyle Shanahan
NFC,West,Seattle Seahawks,"Seattle, WA",Lumen Field,69000,1976,Mike Macdonald
